"STATUS_0","Ongeldig of onvolledig"
"STATUS_1","Geannuleerd door de klant"
"STATUS_2","Autorisatie geweigerd"
"STATUS_3", ""
"STATUS_4","Bestelling bewaard"
"STATUS_40","Opgeslagen, wachten op ext. result."
"STATUS_41","Wachten op klantbetaling"
"STATUS_46","Waiting (for identification)"
"STATUS_5","Geautoriseerd"

"STATUS_50","Geautoriseerd en wachtend op ext. result."
"STATUS_51","Autorisatie pending"
"STATUS_52","Autorisatie onzeker"
"STATUS_55","Stand-by"
"STATUS_56","OK met geplande betalingen"
"STATUS_57","Fout in geplande betalingen"
"STATUS_59","Manueel te bekomen autorisatie"

"STATUS_6","Geautoriseerd en geannuleerd"
"STATUS_61","Annul. autor. pending"
"STATUS_62","Annul. autor. onzeker"
"STATUS_63","Annul. autor. geweigerd"
"STATUS_64","Geautoriseerd en geannuleerd"

"STATUS_7","Betaling geannuleerd"
"STATUS_71","Annul. betaling pending"
"STATUS_72","Annul. betaling onzeker"
"STATUS_73","Annul. betaling geweigerd"
"STATUS_74","Betaling geannuleerd"
"STATUS_75","Annul. verwerkt door merchant"

"STATUS_8","Terugbetaald"
"STATUS_81","Terugbetaling pending"
"STATUS_82","Terugbetaling onzeker"
"STATUS_83","Terugbetaling geweigerd"
"STATUS_84","Betaling geweigerd door de bank"
"STATUS_85","Terugbet. verwerkt door merchant"

"STATUS_9","Betaling aangevraagd"
"STATUS_91","Betaling pending"
"STATUS_92","Betaling onzeker"
"STATUS_93","Betaling geweigerd"
"STATUS_94","Terugbetaling geweigerd door de bank"
"STATUS_95","Betaling verwerkt door merchant"
"STATUS_99","Wordt verwerkt"

"Hash is not valid","Hash is niet geldig"
"Order is not valid","Bestelling is niet geldig"
"Process outgoing transaction","Verwerking uitgaande transactie"
"Start Ingenico Payment Services processing","Start Ingenico Payment Services verwerking"
"Your payment information was declined. Please select another payment method.","Uw betaalinformatie werd geweigerd. Gelieve een andere betaalmethode te selecteren."
"Order canceled on Ingenico Payment Services side. Status: %s, Payment ID: %s.","Bestelling geannuleerd bij Ingenico Payment Services. Status: %s, BetaalID: %s."
"Account number must contain numbers only.","Rekeningnummer mag enkel nummers bevatten."
"Bank code must contain numbers only.","Bankcode mag enkel nummers bevatten."
"Account Holder must be filled in.","Rekeninghouder invullen is verplicht."
"Process outgoing transaction","Verwerking uitgaande transactie"
"Capture process complete","Betalingsaanvraag afgerond"
"The capture has already been invoiced.","De betalingsaanvraag werd al gefactureerd."
"Cannot create an invoice without products.","Een factuur aanmaken is niet mogelijk zonder producten."
"Partial capture process complete","Gedeeltelijke betalingsaanvraag afgerond"
"Invoice ""%s"" was created automatically. Ingenico Payment Services Status: %s.","Factuur ""%s"" werd automatisch aangemaakt. Ingenico Payment Services Status: %s."
