"STATUS_0","Incompleto o invalido"
"STATUS_1","Cancellato dal cliente"
"STATUS_2","Autorizzazione rifiutata"
"STATUS_3",""
"STATUS_4","Ordine salvato"
"STATUS_40","Salvato, in attesa del risultato estreno"
"STATUS_41","In attesa del pagamento del cliente"
"STATUS_46","Waiting (for identification)"
"STATUS_5","Autorizzato"

"STATUS_50","Autorizzato, in attesa del risultato estreno"
"STATUS_51","Autorizzazione in attesa"
"STATUS_52","Autorizzazione incerta"
"STATUS_55","Stand-by"
"STATUS_56","OK con in pagamenti pianificati"
"STATUS_57","Errore nei pagamenti pianificati"
"STATUS_59","Autorizzazione da ricevere manualmente"

"STATUS_6","Autorizzato e cancellato"
"STATUS_61","Storno dell'autorizzazione in attesa"
"STATUS_62","Storno dell'autorizzazione incerto"
"STATUS_63","Storno dell'autorizzazione rifiutato"
"STATUS_64","Autorizzato e cancellato"

"STATUS_7","Pagamento cancellato"
"STATUS_71","Storno del Pagamento in attesa"
"STATUS_72","Storno del Pagamento incerto"
"STATUS_73","Storno del Pagamento rifiutato"
"STATUS_74","Pagamento cancellato"
"STATUS_75","Storno del Pagamento da parte del mercante"

"STATUS_8","Rimborso"
"STATUS_81","Rimborso in attesa"
"STATUS_82","Rimborso incerto"
"STATUS_83","Rimborso rifiutato"
"STATUS_84","Pagamento rifiutato dall'acquirente"
"STATUS_85","Rimborso processato dal mercante"

"STATUS_9","Pagamento richiesto"
"STATUS_91","Pagamento in processo"
"STATUS_92","Pagamento incerto"
"STATUS_93","Pagamento rifiutato"
"STATUS_94","Pagamento rifiutato dall'acquirente"
"STATUS_95","Pagamento effettuato dal mercante"
"STATUS_99","In processo"

"Hash is not valid","Hash non valido"
"Order is not valid","Ordine non valido"
"Process outgoing transaction","Processazione della transazioni in uscita"
"Start Ingenico Payment Services processing","Inizio processazione Ingenico Payment Services"
"Your payment information was declined. Please select another payment method.","I Vostri dati di pagammento sono stati rifiutati. Si prega di selezionare un altro metodo di pagamento."
"Order canceled on Ingenico Payment Services side. Status: %s, Payment ID: %s.","Ordine cancellato sul Ingenico Payment Services. Status: %s, Payment ID: %s."
"Account number must contain numbers only.","Il numero di conto deve contenere unicamente numeri."
"Bank code must contain numbers only.","Il numero di conto deve contenere unicamente numeri."
"Account Holder must be filled in.","Il campo intestatario deve essere compilato."
"Process outgoing transaction","Processazione della transazioni in uscita"
"Capture process complete","Processo di accredito eseguito"
"The capture has already been invoiced.","L'accredito é stato già eseguito."
"Cannot create an invoice without products.","No é possibile creare un fattura senza prodotti."
"Partial capture process complete","Processo dell'accredito parziale eseguito"
"Invoice ""%s"" was created automatically. Ingenico Payment Services Status: %s.","La fattura ""%s"" é stata creata automaticamente. Ingenico Payment Services Status: %s."
"Start Ingenico Payment Services refund request","Inizio della richiesta di rimborso sul Ingenico Payment Services"
"Creditmemo will be created automatically as soon as Ingenico Payment Services sends an acknowledgement. Ingenico Payment Services Status: %s.","Il rimborso sarà creato automaticamente quando il Ingenico Payment Services manderà la conferma. Sato del Ingenico Payment Services: %s."
"Creditmemo ""%s"" was created automatically. Ingenico Payment Services Status: %s.","Il rimborso ""%s"" é stato creato automaticamente. Sato del Ingenico Payment Services: %s."
"Could not perform actions for Ingenico Payment Services status: %s.","Impossibile eseguire azioni per lo stato del Ingenico Payment Services status: %s."
"Refund is waiting or uncertain. Ingenico Payment Services status: %s.","Rimborso in attesa o incerto. Sato del Ingenico Payment Services: %s."
"Refund was refused. Automatic creation failed. Ingenico Payment Services status: %s.","Rimborso é stato rifiutato. Creazione automatica  fallita. Sato del Ingenico Payment Services: %s."
"Capture is waiting or uncertain. Ingenico Payment Services status: %s.","Accredito in attesa o incerto. Sato del Ingenico Payment Services: %s."
"Capture was refused. Automatic creation failed. Ingenico Payment Services status: %s.","L' accredito é stato rifiutato. Creazione automatica  fallita. Sato del Ingenico Payment Services: %s."
"Void is waiting or uncertain. Ingenico Payment Services status: %s.","Annullamento in attesa o incerto. Sato del Ingenico Payment Services: %s."
"Void was refused. Automatic creation failed. Ingenico Payment Services status: %s.","Annullamento é stato rifiutato. Creazione automatica  fallita. Sato del Ingenico Payment Services: %s."
"Authorization status changed. Current Ingenico Payment Services status is: %s.","Lo sato dell'autorizzazione é cambiato. Sato corrente del Ingenico Payment Services: %s."
"Unknown Ingenico Payment Services status: %s.","Sato del Ingenico Payment Services ingnoto: %s."
"Error, Il numero di tentativi per la transazione é %s invece che 1 per il Payid ""%s"", ordine ""%s"" e operazione ""%s"".","Errore, Il numero di tentativi per la transazione é %s invece che 1 per il Payid ""%s"", ordine ""%s"" e operazione ""%s""."
"Order can not be saved.","L' ordine non puo' essere salvato."
"Order can not be canceled for system reason.","L' ordine non puo' essere cancellato par motivi di sistema."
"Order declined on ops side. Ingenico Payment Services status: %s, Payment ID: %s.","Ordine rifiutato da parte del  Ingenico Payment Services. Sato del Ingenico Payment Services: %s, Payment ID: %s."
"Order can not be saved for system reason.","L' ordine non puo' essere savato par motivi di sistema."
"An unknown exception occured.","Si é verificata un'eccezione ingota."
"A technical problem arose during payment process, giving unpredictable result. Ingenico Payment Services status: %s.","Si é verificato un problema tecnico durante il processo di pagamento, dando un risultato ignoto. Sato del Ingenico Payment Services: %s."
"An unknown exception was thrown in the payment process. Ingenico Payment Services status: %s.","Si é verificata un'eccezione inaspettata durante il processo di pagamento. Sato del Ingenico Payment Services: %s."
"Waiting for the payment of the customer","In attesa del pagamento da parte del cliente"
"Authorization waiting from Ingenico Payment Services","In attesa del pagamento da parte del Ingenico Payment Services"
"Processed by Ingenico Payment Services","Processato dal Ingenico Payment Services"
"Waiting for payment. Ingenico Payment Services status: %s.","In attesa del pagamento. Sato del Ingenico Payment Services: %s."
"Authorization waiting. Ingenico Payment Services status: %s.","In attesa dell'autorizzazione. Sato del Ingenico Payment Services: %s."
"Authorization uncertain. Ingenico Payment Services status: %s.","Autorizzazione incerta. Sato del Ingenico Payment Services: %s."
"Processed by Ingenico Payment Services. Payment ID: %s. Ingenico Payment Services status: %s.","Processato da Ingenico Payment Services. Payment ID: %s. Sato del Ingenico Payment Services: %s."
"Ingenico Payment Services server is temporarily not available, please try again later.","Il server del Ingenico Payment Services non é momentaneamente reperibile, si prega di riprovare più tardi."
"An error occured during the Ingenico Payment Services request. Your action could not be executed. Message: ""%s"".","Si é verificato un errore durenta la rchiesta del Ingenico Payment Services. L'operazione richiesta no é potuta essere eseguita. Messaggio: ""%s""."
"You already sent a capture request. Please wait until the capture request is acknowledged.","La richesta di accredito é stata già inviata. Si prega di attendere la conferma d'accredito."
"There is one void request waiting. Please wait until this request is acknowledged.","Una richiesta di annullamento in attesa. Si prega di attendere la conferma di tale processo."
"Start Ingenico Payment Services %s capture request","Inizio di richiest di accredito da parte del %s"
"Invoice will be created automatically as soon as Ingenico Payment Services sends an acknowledgement. Ingenico Payment Services status: %s.","La fattura verrà stata creata automaticamente quando l'Ingenico Payment Services invierà la conferma. Sato del Ingenico Payment Services: %s."
"The Invoice will be created automatically as soon as Ingenico Payment Services sends an acknowledgement.","La fattura verrà stata creata automaticamente quando l'Ingenico Payment Services invierà la conferma."
"The Invoice was not created. Ingenico Payment Services status: %s.","La fattura no é stata creata. Sato del Ingenico Payment Services: %s."
"The CreditMemo was not created. Ingenico Payment Services status: %s.","La nota di credito non é stata creata. Sato del Ingenico Payment Services:  %s."
"The Creditmemo will be created automatically as soon as Ingenico Payment Services sends an acknowledgement.","La nota di credito verrà creata automaticamente quando l'Ingenico Payment Services avrà inviato la conferma."
"There is already one creditmemo in the queue. The Creditmemo will be created automatically as soon as Ingenico Payment Services sends an acknowledgement.","Una nota di credito gia in coda. La nota di credito verrà creata automaticamente quando l'Ingenico Payment Services avrà inviato la conferma."
"Please use void to cancel the operation.","Si prega di utilizare Annulla per cancellare l'operazione."
"You already sent a void request. Please wait until the void request will be acknowledged.","Si ha gia inviato una richiest di annullamento. Si prega di attendere la conferma di annullamento."
